Section,Symbol,Size_Bytes,Size_KB,Address,Module_Short,Module_Full
bss,ppu,7584,7.406,0x20021380,nes_ppu,"build_sf32lb52-lchspi-ulp_hcpu\src\nofrendo\nes\nes_ppu.o"
bss,drv_epic,3184,3.109,0x2001b7f8,drv_epic,"build_sf32lb52-lchspi-ulp_hcpu\sifli_sdk\rtos\rtthread\bsp\sifli\drivers\drv_epic.o"
bss,i2c_obj,1260,1.230,0x2001aad4,drv_i2c,"build_sf32lb52-lchspi-ulp_hcpu\sifli_sdk\rtos\rtthread\bsp\sifli\drivers\drv_i2c.o"
bss,info.0,1025,1.001,0x20023120,nes_rom,"build_sf32lb52-lchspi-ulp_hcpu\src\nofrendo\nes\nes_rom.o"
bss,nes,812,0.793,0x20020d48,nes,"build_sf32lb52-lchspi-ulp_hcpu\src\nofrendo\nes\nes.o"
bss,drv_lcd,612,0.598,0x2001b488,drv_lcd,"build_sf32lb52-lchspi-ulp_hcpu\sifli_sdk\rtos\rtthread\bsp\sifli\drivers\drv_lcd.o"
bss,uart_obj,444,0.434,0x2001a708,drv_usart,"build_sf32lb52-lchspi-ulp_hcpu\sifli_sdk\rtos\rtthread\bsp\sifli\drivers\drv_usart.o"
bss,__sf,312,0.305,0x20023f40,libc.a(libc_a-findfp,"d:/SIFLI/tools/tools/arm-none-eabi-gcc/14.2.1/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v8-m.main+fp/hard\libc.a(libc_a-findfp.o)"
bss,apu,296,0.289,0x20020ac8,nes_apu,"build_sf32lb52-lchspi-ulp_hcpu\src\nofrendo\sndhrdw\nes_apu.o"
bss,msg,264,0.258,0x2001f528,gui,"build_sf32lb52-lchspi-ulp_hcpu\src\nofrendo\gui.o"
bss,dirent,260,0.254,0x20023c04,dfs_file,"build_sf32lb52-lchspi-ulp_hcpu\sifli_sdk\rtos\kernel\components\dfs\src\dfs_file.o"
bss,_hw_pin,212,0.207,0x20023df8,pin,"build_sf32lb52-lchspi-ulp_hcpu\sifli_sdk\rtos\kernel\components\drivers\misc\pin.o"
data,gui_pal,168,0.164,0x200184f8,gui,"build_sf32lb52-lchspi-ulp_hcpu\src\nofrendo\gui.o"
data,mappers,144,0.141,0x200191b4,mmclist,"build_sf32lb52-lchspi-ulp_hcpu\src\nofrendo\nes\mmclist.o"
bss,idle,132,0.129,0x200237d0,idle,"build_sf32lb52-lchspi-ulp_hcpu\sifli_sdk\rtos\kernel\src\idle.o"
bss,vbl_lut,128,0.125,0x2002073c,mmc5_snd,"build_sf32lb52-lchspi-ulp_hcpu\src\nofrendo\sndhrdw\mmc5_snd.o"
bss,vbl_lut,128,0.125,0x20020a04,nes_apu,"build_sf32lb52-lchspi-ulp_hcpu\src\nofrendo\sndhrdw\nes_apu.o"
bss,mmc5,112,0.109,0x200206cc,mmc5_snd,"build_sf32lb52-lchspi-ulp_hcpu\src\nofrendo\sndhrdw\mmc5_snd.o"
bss,cpu,92,0.090,0x20020670,nes6502,"build_sf32lb52-lchspi-ulp_hcpu\src\nofrendo\cpu\nes6502.o"
data,tzinfo,88,0.086,0x20019b28,libc.a(libc_a-gettzinfo,"d:/SIFLI/tools/tools/arm-none-eabi-gcc/14.2.1/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v8-m.main+fp/hard\libc.a(libc_a-gettzinfo.o)"
bss,rtc,80,0.078,0x2001b028,drv_rtc,"build_sf32lb52-lchspi-ulp_hcpu\sifli_sdk\rtos\rtthread\bsp\sifli\drivers\drv_rtc.o"
bss,vrcvi,72,0.070,0x20020bf0,vrcvisnd,"build_sf32lb52-lchspi-ulp_hcpu\src\nofrendo\sndhrdw\vrcvisnd.o"
bss,data.1,64,0.062,0x2001c480,drv_dbg,"build_sf32lb52-lchspi-ulp_hcpu\sifli_sdk\rtos\rtthread\bsp\sifli\drivers\drv_dbg.o"
bss,gExtDma,48,0.047,0x2001b124,drv_ext_dma,"build_sf32lb52-lchspi-ulp_hcpu\sifli_sdk\rtos\rtthread\bsp\sifli\drivers\drv_ext_dma.o"
data,kb_ctrl,40,0.039,0x20017bf4,lv_keyboard,"build_sf32lb52-lchspi-ulp_hcpu\sifli_sdk\external\lvgl_v9\src\widgets\keyboard\lv_keyboard.o"
data,kb_map,40,0.039,0x20017c1c,lv_keyboard,"build_sf32lb52-lchspi-ulp_hcpu\sifli_sdk\external\lvgl_v9\src\widgets\keyboard\lv_keyboard.o"
bss,fslock,36,0.035,0x20023ba4,dfs,"build_sf32lb52-lchspi-ulp_hcpu\sifli_sdk\rtos\kernel\components\dfs\src\dfs.o"
bss,fd,36,0.035,0x20023d08,dfs_file,"build_sf32lb52-lchspi-ulp_hcpu\sifli_sdk\rtos\kernel\components\dfs\src\dfs_file.o"
bss,conf_sys,32,0.031,0x2001a208,bf0_sys_cfg,"build_sf32lb52-lchspi-ulp_hcpu\sifli_sdk\drivers\hal\bf0_sys_cfg.o"
bss,lcd_sema,32,0.031,0x2001a664,lv_lcd,"build_sf32lb52-lchspi-ulp_hcpu\sifli_sdk\middleware\lvgl\lv_drivers_v9\lv_lcd.o"
bss,heap_sem,32,0.031,0x20023908,mem,"build_sf32lb52-lchspi-ulp_hcpu\sifli_sdk\rtos\kernel\src\mem.o"
data,config,28,0.027,0x20018390,config,"build_sf32lb52-lchspi-ulp_hcpu\src\nofrendo\config.o"
bss,object.0,24,0.023,0x20019cfc,crtbegin,"d:/SIFLI/tools/tools/arm-none-eabi-gcc/14.2.1/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v8-m.main+fp/hard/crtbegin.o"
bss,bg_dsc,24,0.023,0x2001d274,main,"build_sf32lb52-lchspi-ulp_hcpu\src\main.o"
bss,logo_dsc,24,0.023,0x2001d28c,main,"build_sf32lb52-lchspi-ulp_hcpu\src\main.o"
bss,console,24,0.023,0x2001f638,nofrendo,"build_sf32lb52-lchspi-ulp_hcpu\src\nofrendo\nofrendo.o"
bss,fpsbuf.0,20,0.020,0x2001f4e4,gui,"build_sf32lb52-lchspi-ulp_hcpu\src\nofrendo\gui.o"
bss,info,16,0.016,0x2001a684,lv_lcd,"build_sf32lb52-lchspi-ulp_hcpu\sifli_sdk\middleware\lvgl\lv_drivers_v9\lv_lcd.o"
bss,lcd_info,16,0.016,0x2001b6f8,drv_lcd_test,"build_sf32lb52-lchspi-ulp_hcpu\sifli_sdk\rtos\rtthread\bsp\sifli\drivers\drv_lcd_test.o"
bss,irq,16,0.016,0x20020c60,map005,"build_sf32lb52-lchspi-ulp_hcpu\src\nofrendo\mappers\map005.o"
bss,irq,16,0.016,0x20020c98,map018,"build_sf32lb52-lchspi-ulp_hcpu\src\nofrendo\mappers\map018.o"
bss,irq,16,0.016,0x20020cb0,map024,"build_sf32lb52-lchspi-ulp_hcpu\src\nofrendo\mappers\map024.o"
bss,irq,16,0.016,0x20020ce0,map065,"build_sf32lb52-lchspi-ulp_hcpu\src\nofrendo\mappers\map065.o"
bss,irq,16,0.016,0x20020d10,map085,"build_sf32lb52-lchspi-ulp_hcpu\src\nofrendo\mappers\map085.o"
bss,irq,16,0.016,0x20020d38,mapvrc,"build_sf32lb52-lchspi-ulp_hcpu\src\nofrendo\mappers\mapvrc.o"
data,__sglue,12,0.012,0x200199c8,libc.a(libc_a-findfp,"d:/SIFLI/tools/tools/arm-none-eabi-gcc/14.2.1/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v8-m.main+fp/hard\libc.a(libc_a-findfp.o)"
bss,i2c_sema,12,0.012,0x2001aac8,drv_i2c,"build_sf32lb52-lchspi-ulp_hcpu\sifli_sdk\rtos\rtthread\bsp\sifli\drivers\drv_i2c.o"
bss,irq,12,0.012,0x20020c50,map004,"build_sf32lb52-lchspi-ulp_hcpu\src\nofrendo\mappers\map004.o"
bss,irq,12,0.012,0x20020cd4,map064,"build_sf32lb52-lchspi-ulp_hcpu\src\nofrendo\mappers\map064.o"
bss,irq,12,0.012,0x20020cf8,map074,"build_sf32lb52-lchspi-ulp_hcpu\src\nofrendo\mappers\map074.o"
data,small,8,0.008,0x200185a0,gui_elem,"build_sf32lb52-lchspi-ulp_hcpu\src\nofrendo\gui_elem.o"
data,_tzname,8,0.008,0x200199d4,libc.a(libc_a-tzvars,"d:/SIFLI/tools/tools/arm-none-eabi-gcc/14.2.1/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v8-m.main+fp/hard\libc.a(libc_a-tzvars.o)"
bss,irq,8,0.008,0x20020c78,map016,"build_sf32lb52-lchspi-ulp_hcpu\src\nofrendo\mappers\map016.o"
bss,irq,8,0.008,0x20020ca8,map019,"build_sf32lb52-lchspi-ulp_hcpu\src\nofrendo\mappers\map019.o"
bss,irq,8,0.008,0x20020cc8,map040,"build_sf32lb52-lchspi-ulp_hcpu\src\nofrendo\mappers\map040.o"
bss,mmc,8,0.008,0x20021074,nes_mmc,"build_sf32lb52-lchspi-ulp_hcpu\src\nofrendo\nes\nes_mmc.o"
bss,_fdtab,8,0.008,0x20023b9c,dfs,"build_sf32lb52-lchspi-ulp_hcpu\sifli_sdk\rtos\kernel\components\dfs\src\dfs.o"
bss,disk,8,0.008,0x20023d30,dfs_elm,"build_sf32lb52-lchspi-ulp_hcpu\sifli_sdk\rtos\kernel\components\dfs\filesystems\elmfat\dfs_elm.o"
bss,FatFs,8,0.008,0x20023d3c,ff,"build_sf32lb52-lchspi-ulp_hcpu\sifli_sdk\rtos\kernel\components\dfs\filesystems\elmfat\ff.o"
data,addr,4,0.004,0x20017bd0,bt_afh_test,"build_sf32lb52-lchspi-ulp_hcpu\sifli_sdk\drivers\cmsis\sf32lb52x\bt_afh_test.o"
data,drv_ops,4,0.004,0x20017f6c,drv_pwm,"build_sf32lb52-lchspi-ulp_hcpu\sifli_sdk\rtos\rtthread\bsp\sifli\drivers\drv_pwm.o"
data,sreg.0,4,0.004,0x200188a8,nes_apu,"build_sf32lb52-lchspi-ulp_hcpu\src\nofrendo\sndhrdw\nes_apu.o"
data,tint,4,0.004,0x200192c8,nes_pal,"build_sf32lb52-lchspi-ulp_hcpu\src\nofrendo\nes\nes_pal.o"
data,hue,4,0.004,0x200192cc,nes_pal,"build_sf32lb52-lchspi-ulp_hcpu\src\nofrendo\nes\nes_pal.o"
data,environ,4,0.004,0x20019b24,libc.a(libc_a-environ,"d:/SIFLI/tools/tools/arm-none-eabi-gcc/14.2.1/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v8-m.main+fp/hard\libc.a(libc_a-environ.o)"
bss,tx_des1,4,0.004,0x2001a10c,bt_afh_test,"build_sf32lb52-lchspi-ulp_hcpu\sifli_sdk\drivers\cmsis\sf32lb52x\bt_afh_test.o"
bss,tx_des0,4,0.004,0x2001a110,bt_afh_test,"build_sf32lb52-lchspi-ulp_hcpu\sifli_sdk\drivers\cmsis\sf32lb52x\bt_afh_test.o"
bss,uwTick,4,0.004,0x2001a11c,bf0_hal,"build_sf32lb52-lchspi-ulp_hcpu\sifli_sdk\drivers\hal\bf0_hal.o"
bss,irq_cb,4,0.004,0x2001a120,bf0_hal_aes,"build_sf32lb52-lchspi-ulp_hcpu\sifli_sdk\drivers\hal\bf0_hal_aes.o"
bss,irq_cb,4,0.004,0x2001a124,bf0_hal_aes_ns,"build_sf32lb52-lchspi-ulp_hcpu\sifli_sdk\drivers\hal\bf0_hal_aes_ns.o"
bss,sda_mask,4,0.004,0x2001a1d8,bf0_hal_hlp,"build_sf32lb52-lchspi-ulp_hcpu\sifli_sdk\drivers\hal\bf0_hal_hlp.o"
bss,sda_dor,4,0.004,0x2001a1dc,bf0_hal_hlp,"build_sf32lb52-lchspi-ulp_hcpu\sifli_sdk\drivers\hal\bf0_hal_hlp.o"
bss,scl_mask,4,0.004,0x2001a1e0,bf0_hal_hlp,"build_sf32lb52-lchspi-ulp_hcpu\sifli_sdk\drivers\hal\bf0_hal_hlp.o"
bss,scl_dor,4,0.004,0x2001a1e4,bf0_hal_hlp,"build_sf32lb52-lchspi-ulp_hcpu\sifli_sdk\drivers\hal\bf0_hal_hlp.o"
bss,count.3,4,0.004,0x2001a1fc,bf0_hal_lrc_cal,"build_sf32lb52-lchspi-ulp_hcpu\sifli_sdk\drivers\hal\bf0_hal_lrc_cal.o"
bss,disp,4,0.004,0x2001a65c,lv_lcd,"build_sf32lb52-lchspi-ulp_hcpu\sifli_sdk\middleware\lvgl\lv_drivers_v9\lv_lcd.o"
bss,device,4,0.004,0x2001a694,lv_lcd,"build_sf32lb52-lchspi-ulp_hcpu\sifli_sdk\middleware\lvgl\lv_drivers_v9\lv_lcd.o"
bss,gif_log,4,0.004,0x2001a69c,agif,"build_sf32lb52-lchspi-ulp_hcpu\sifli_sdk\middleware\sifli_lib\lib\agif.o"
bss,err_cb,4,0.004,0x2001b154,drv_ext_dma,"build_sf32lb52-lchspi-ulp_hcpu\sifli_sdk\rtos\rtthread\bsp\sifli\drivers\drv_ext_dma.o"
bss,full_cb,4,0.004,0x2001b158,drv_ext_dma,"build_sf32lb52-lchspi-ulp_hcpu\sifli_sdk\rtos\rtthread\bsp\sifli\drivers\drv_ext_dma.o"
bss,loop_cnt,4,0.004,0x2001b6ec,drv_lcd_test,"build_sf32lb52-lchspi-ulp_hcpu\sifli_sdk\rtos\rtthread\bsp\sifli\drivers\drv_lcd_test.o"
bss,epic,4,0.004,0x2001c468,drv_epic,"build_sf32lb52-lchspi-ulp_hcpu\sifli_sdk\rtos\rtthread\bsp\sifli\drivers\drv_epic.o"
bss,aes_sema,4,0.004,0x2001c470,drv_aes,"build_sf32lb52-lchspi-ulp_hcpu\sifli_sdk\rtos\rtthread\bsp\sifli\drivers\drv_aes.o"
bss,g_tx_ev,4,0.004,0x2001d0d8,audio,"build_sf32lb52-lchspi-ulp_hcpu\src\audio.o"
bss,i2c_bus,4,0.004,0x2001d0e0,input,"build_sf32lb52-lchspi-ulp_hcpu\src\input.o"
bss,cont,4,0.004,0x2001d1e8,main,"build_sf32lb52-lchspi-ulp_hcpu\src\main.o"
bss,indev,4,0.004,0x2001d1f0,main,"build_sf32lb52-lchspi-ulp_hcpu\src\main.o"
bss,g,4,0.004,0x2001d1f4,main,"build_sf32lb52-lchspi-ulp_hcpu\src\main.o"
bss,bg_img,4,0.004,0x2001d270,main,"build_sf32lb52-lchspi-ulp_hcpu\src\main.o"
bss,oldb,4,0.004,0x2001d2a8,video_audio,"build_sf32lb52-lchspi-ulp_hcpu\src\video_audio.o"
bss,lcdfb,4,0.004,0x2001d2ac,video_audio,"build_sf32lb52-lchspi-ulp_hcpu\src\video_audio.o"
bss,myBitmap,4,0.004,0x2001d4b0,video_audio,"build_sf32lb52-lchspi-ulp_hcpu\src\video_audio.o"
bss,myVars,4,0.004,0x2001f4dc,config,"build_sf32lb52-lchspi-ulp_hcpu\src\nofrendo\config.o"
bss,mouse_y,4,0.004,0x2001f504,gui,"build_sf32lb52-lchspi-ulp_hcpu\src\nofrendo\gui.o"
bss,mouse_x,4,0.004,0x2001f508,gui,"build_sf32lb52-lchspi-ulp_hcpu\src\nofrendo\gui.o"
bss,gui_fps,4,0.004,0x2001f50c,gui,"build_sf32lb52-lchspi-ulp_hcpu\src\nofrendo\gui.o"
bss,real_nes,4,0.004,0x2001f634,nofrendo,"build_sf32lb52-lchspi-ulp_hcpu\src\nofrendo\nofrendo.o"
bss,driver,4,0.004,0x2001f650,vid_drv,"build_sf32lb52-lchspi-ulp_hcpu\src\nofrendo\vid_drv.o"
bss,screen,4,0.004,0x2001f65c,vid_drv,"build_sf32lb52-lchspi-ulp_hcpu\src\nofrendo\vid_drv.o"
bss,stack,4,0.004,0x20020660,nes6502,"build_sf32lb52-lchspi-ulp_hcpu\src\nofrendo\cpu\nes6502.o"
bss,ram,4,0.004,0x20020664,nes6502,"build_sf32lb52-lchspi-ulp_hcpu\src\nofrendo\cpu\nes6502.o"
bss,regs,4,0.004,0x20020c40,map001,"build_sf32lb52-lchspi-ulp_hcpu\src\nofrendo\mappers\map001.o"
bss,bitcount,4,0.004,0x20020c48,map001,"build_sf32lb52-lchspi-ulp_hcpu\src\nofrendo\mappers\map001.o"
bss,regs,4,0.004,0x20020c70,map009,"build_sf32lb52-lchspi-ulp_hcpu\src\nofrendo\mappers\map009.o"
bss,rt_tick,4,0.004,0x200235bc,clock,"build_sf32lb52-lchspi-ulp_hcpu\sifli_sdk\rtos\kernel\src\clock.o"
bss,max_mem,4,0.004,0x200238fc,mem,"build_sf32lb52-lchspi-ulp_hcpu\sifli_sdk\rtos\kernel\src\mem.o"
bss,used_mem,4,0.004,0x20023900,mem,"build_sf32lb52-lchspi-ulp_hcpu\sifli_sdk\rtos\kernel\src\mem.o"
bss,lused,4,0.004,0x20023928,mem,"build_sf32lb52-lchspi-ulp_hcpu\sifli_sdk\rtos\kernel\src\mem.o"
bss,lfree,4,0.004,0x2002392c,mem,"build_sf32lb52-lchspi-ulp_hcpu\sifli_sdk\rtos\kernel\src\mem.o"
bss,heap_end,4,0.004,0x20023930,mem,"build_sf32lb52-lchspi-ulp_hcpu\sifli_sdk\rtos\kernel\src\mem.o"
bss,heap_ptr,4,0.004,0x20023934,mem,"build_sf32lb52-lchspi-ulp_hcpu\sifli_sdk\rtos\kernel\src\mem.o"
bss,shell,4,0.004,0x20023dcc,shell,"build_sf32lb52-lchspi-ulp_hcpu\sifli_sdk\rtos\kernel\components\finsh\shell.o"
bss,device.0,4,0.004,0x20023de4,time,"build_sf32lb52-lchspi-ulp_hcpu\sifli_sdk\rtos\kernel\components\libc\compilers\newlib\time.o"
bss,__atexit,4,0.004,0x20024240,libc.a(libc_a-__call_atexit,"d:/SIFLI/tools/tools/arm-none-eabi-gcc/14.2.1/bin/../lib/gcc/arm-none-eabi/14.2.1/thumb/v8-m.main+fp/hard\libc.a(libc_a-__call_atexit.o)"
bss,vrombase,2,0.002,0x20020c4c,map004,"build_sf32lb52-lchspi-ulp_hcpu\src\nofrendo\mappers\map004.o"
bss,latch,2,0.002,0x20020c74,map009,"build_sf32lb52-lchspi-ulp_hcpu\src\nofrendo\mappers\map009.o"
bss,vrombase,2,0.002,0x20020cd0,map064,"build_sf32lb52-lchspi-ulp_hcpu\src\nofrendo\mappers\map064.o"
bss,vrombase,2,0.002,0x20020cf0,map074,"build_sf32lb52-lchspi-ulp_hcpu\src\nofrendo\mappers\map074.o"
bss,latch,2,0.002,0x20020d08,map075,"build_sf32lb52-lchspi-ulp_hcpu\src\nofrendo\mappers\map075.o"
bss,Fsid,2,0.002,0x20023d38,ff,"build_sf32lb52-lchspi-ulp_hcpu\sifli_sdk\rtos\kernel\components\dfs\filesystems\elmfat\ff.o"
bss,mem_on,1,0.001,0x2001a63c,littlevgl2rtt,"build_sf32lb52-lchspi-ulp_hcpu\sifli_sdk\middleware\lvgl\littlevgl2rtt.o"
bss,fps_on,1,0.001,0x2001a63d,littlevgl2rtt,"build_sf32lb52-lchspi-ulp_hcpu\sifli_sdk\middleware\lvgl\littlevgl2rtt.o"
bss,fb,1,0.001,0x2001d4b4,video_audio,"build_sf32lb52-lchspi-ulp_hcpu\src\video_audio.o"
bss,lastreg,1,0.001,0x20020c38,map001,"build_sf32lb52-lchspi-ulp_hcpu\src\nofrendo\mappers\map001.o"
bss,latch,1,0.001,0x20020c44,map001,"build_sf32lb52-lchspi-ulp_hcpu\src\nofrendo\mappers\map001.o"
bss,command,1,0.001,0x20020c4e,map004,"build_sf32lb52-lchspi-ulp_hcpu\src\nofrendo\mappers\map004.o"
bss,reg,1,0.001,0x20020c4f,map004,"build_sf32lb52-lchspi-ulp_hcpu\src\nofrendo\mappers\map004.o"
bss,command,1,0.001,0x20020cd2,map064,"build_sf32lb52-lchspi-ulp_hcpu\src\nofrendo\mappers\map064.o"
bss,command,1,0.001,0x20020cf2,map074,"build_sf32lb52-lchspi-ulp_hcpu\src\nofrendo\mappers\map074.o"
bss,reg,1,0.001,0x20020cf3,map074,"build_sf32lb52-lchspi-ulp_hcpu\src\nofrendo\mappers\map074.o"
bss,hibits,1,0.001,0x20020d04,map075,"build_sf32lb52-lchspi-ulp_hcpu\src\nofrendo\mappers\map075.o"
